City,Latitude,Longitude,Restaurant_Count,Province
Antwerpen,51.2199302,4.414990299999999,437,Flanders
Gent,51.0499922,3.7303853,309,Flanders
Brussel,50.84770289999999,4.357200100000001,264,Brussel
Leuven,50.8791453,4.7024648,174,Flanders
Schaerbeek,50.8643377,4.3735116,110,Brussel
Brugge,51.20845079999999,3.2250586,96,Flanders
Oostende,51.22471849999999,2.9092214,85,Flanders
Mechelen,51.0279827,4.4793443,84,Flanders
Anderlecht,50.8289886,4.3044056,84,Brussel
Deurne,51.2203758,4.4595994,56,Flanders
Uccle,50.7956957,4.3736365,51,Brussel
Ixelles,50.8278557,4.3714303,50,Brussel
Laeken,50.8779248,4.3481374,48,Brussel
Etterbeek,50.8305664,4.3899992,43,Brussel
Hasselt,50.9304628,5.3324297,41,Flanders
Sint-Niklaas,51.1657403,4.1370695,39,Flanders
Aalst,50.9460841,4.0502929,38,Flanders
Molenbeek-Saint-Jean,50.8589178,4.3120744,36,Brussel
Genk,50.9662121,5.502028699999999,32,Flanders
Jette,50.8854263,4.317266099999999,30,Brussel
Forest,50.8202973,4.325840299999999,30,Brussel
Berchem,51.1955771,4.4188392,30,Flanders
Saint-Gilles,50.8269838,4.344431699999999,29,Brussel
Waterloo,50.7007212,4.402148299999999,23,Wallonia
Lier,51.1334336,4.5675301,23,Flanders
Evere,50.87481709999999,4.4034479,23,Brussel
Merksem,51.2508917,4.4489277,22,Flanders
Woluwe-Saint-Lambert,50.8415257,4.4337046,21,Brussel
Vilvoorde,50.9262478,4.426356300000001,21,Flanders
Wilrijk,51.1683102,4.3942868,20,Flanders
Turnhout,51.3216148,4.9373026,20,Flanders
Mortsel,51.1726912,4.4456969,20,Flanders
Borgerhout,51.2090363,4.4488977,19,Flanders
Wavre,50.7154207,4.617655699999999,18,Wallonia
Roeselare,50.9452778,3.1237049,18,Flanders
Knokke-Heist,51.3411792,3.2870914,18,Flanders
Brasschaat,51.3078944,4.5074231,18,Flanders
Vilvorde,50.9262478,4.426356300000001,17,Flanders
Heusden-Zolder,51.0262329,5.267462,17,Flanders
Blankenberge,51.31241079999999,3.132483,17,Flanders
Zaventem,50.8798599,4.4727755,16,Flanders
Saint-Josse-ten-Noode,50.8499102,4.3730202,16,Brussel
Mouscron,50.748264,3.2256382,16,Wallonia
Kortrijk,50.8270689,3.2603645,16,Flanders
Bruxelles-Capitale,50.8260453,4.3802052,15,Brussel
Boom,51.089961,4.3649477,14,Flanders
Wijnegem,51.2271066,4.5194803,13,Flanders
Waregem,50.8837851,3.4244789,13,Flanders
Maasmechelen,50.9641222,5.6955081,13,Flanders
Koekelberg,50.8633698,4.3293856,13,Brussel
Hoboken,51.1771171,4.3532966,13,Flanders
Oudenaarde,50.8459758,3.6022745,12,Flanders
Lommel,51.23068319999999,5.3095115,12,Flanders
Lokeren,51.1039354,3.989385199999999,12,Flanders
Ieper,50.8576861,2.8712378,12,Flanders
Geel,51.16258329999999,4.9908316,12,Flanders
Ganshoren,50.8720636,4.313806899999999,12,Brussel
Dendermonde,51.0256441,4.102013599999999,12,Flanders
Auderghem,50.8165359,4.4263595,12,Brussel
Asse,50.9106335,4.200210999999999,12,Flanders
Tubize,50.6944925,4.2040202,11,Wallonia
Sint-Truiden,50.8186764,5.1816874,11,Flanders
Ninove,50.8336761,4.0186393,11,Flanders
Kessel-Lo,50.88514,4.73571,11,Flanders
Hamme,51.0981157,4.1373212,11,Flanders
Ekeren,51.2771047,4.4175641,11,Flanders
Brussel,50.84770289999999,4.357200100000001,11,Brussel
Beveren,51.2132887,4.2581365,11,Flanders
Schoten,51.2538716,4.4911468,10,Flanders
Mol,51.1839796,5.1151634,10,Flanders
Lanaken,50.8920093,5.6569064,10,Flanders
Herentals,51.1771481,4.8363428,10,Flanders
Harelbeke,50.8566802,3.3105944,10,Flanders
Dilbeek,50.8437677,4.2613601,10,Flanders
Deinze,50.9791518,3.5309141,10,Flanders
Woluwe-Saint-Pierre,50.83302399999999,4.431729,9,Brussel
Nijlen,51.1610575,4.6700925,9,Flanders
Molenbeek,50.8589178,4.3120744,9,Brussel
Knokke,51.3467441,3.2894423,9,Flanders
Kapellen,51.315014,4.429339,9,Flanders
Heist-op-den-Berg,51.0725819,4.7238688,9,Flanders
Diest,50.9794615,5.055685599999999,9,Flanders
Bornem,51.0959792,4.232765,9,Flanders
Wetteren,50.9988367,3.8820184,8,Flanders
Tienen,50.8097182,4.9370128,8,Flanders
Tielt,50.9984732,3.3342635,8,Flanders
Sint-Amandsberg,51.0593304,3.7509905,8,Flanders
Overijse,50.770559,4.540793,8,Flanders
Liège,50.6402286,5.5689372,8,Wallonia
Ledeberg,51.0371743,3.7412237,8,Flanders
Houthalen-Helchteren,51.0382829,5.3784999,8,Flanders
Geraardsbergen,50.7778285,3.872234299999999,8,Flanders
Eeklo,51.1852279,3.5641894,8,Flanders
Borsbeek,51.1947846,4.47917,8,Flanders
Beringen,51.0495481,5.228858,8,Flanders
Anvers,51.2199302,4.414990299999999,8,Flanders
Aarschot,50.9924094,4.8428813,8,Flanders
Zonhoven,50.99116009999999,5.3682925,7,Flanders
Zelzate,51.2024334,3.8096899,7,Flanders
Willebroek,51.0600306,4.3602508,7,Flanders
Visé,50.7378047,5.6956089,7,Wallonia
Temse,51.1275442,4.2136696,7,Flanders
Schilde,51.2389346,4.5791463,7,Flanders
Saint-Josse-Ten-Noode,50.8499102,4.3730202,7,Brussel
Kontich,51.1346929,4.4448466,7,Flanders
Grimbergen,50.9363515,4.3633877,7,Flanders
Gand,51.0499922,3.7303853,7,Flanders
Bilzen,50.8723874,5.5141443,7,Flanders
Zottegem,50.8694877,3.8104565,6,Flanders
Zele,51.0685806,4.0397802,6,Flanders
Wemmel,50.90900629999999,4.3068726,6,Flanders
Waremme,50.6980242,5.260365999999999,6,Wallonia
Tongeren,50.78220719999999,5.4607492,6,Flanders
Putte,51.0548325,4.6287004,6,Flanders
Maastricht,50.503887,4.469936,6,Wallonia
Leeuw-Saint-Pierre,50.7812959,4.2458165,6,Flanders
Kalmthout,51.37918,4.4749,6,Flanders
Izegem,50.9180566,3.2132491,6,Flanders
Herent,50.9065243,4.669804,6,Flanders
Erpe-Mere,50.9270256,3.9572981,6,Flanders
Braine-l'Alleud,50.6852876,4.3752475,6,Wallonia
Berchem-Sainte-Agathe,50.8644399,4.297447,6,Brussel
Alost,50.9460841,4.0502929,6,Flanders
Woluwé-Saint-Lambert,50.8415257,4.4337046,5,Brussel
Wevelgem,50.808847,3.1837075,5,Flanders
Westerlo,51.0899291,4.9143336,5,Flanders
Wachtebeke,51.16915729999999,3.858440899999999,5,Flanders
Strombeek-Bever,50.9095358,4.3546661,5,Flanders
Sint-Katelijne-Waver,51.07036670000001,4.5313672,5,Flanders
Ronse,50.7498634,3.6039574,5,Flanders
Oostkamp,51.1545991,3.235562,5,Flanders
Neerpelt,51.22723999999999,5.43173,5,Flanders
Malines,51.0279827,4.4793443,5,Flanders
Leopoldsburg,51.1161316,5.258765299999999,5,Flanders
Kampenhout,50.9406267,4.557150099999999,5,Flanders
