City,Latitude,Longitude,Restaurant_Count,Province
Antwerpen,51.2199302,4.414990299999999,437,Vlaams Gewest
Gent,51.0499922,3.7303853,309,Vlaams Gewest
Bruxelles,50.84770289999999,4.357200100000001,264,Bruxelles
Leuven,50.8791453,4.7024648,174,Vlaams Gewest
Schaerbeek,50.8643377,4.3735116,110,Brussel
Brugge,51.20845079999999,3.2250586,96,Vlaams Gewest
Oostende,51.22471849999999,2.9092214,85,Vlaams Gewest
Mechelen,51.0279827,4.4793443,84,Vlaams Gewest
Anderlecht,50.8289886,4.3044056,84,Bruxelles
Deurne,51.2203758,4.4595994,56,Vlaams Gewest
Uccle,50.7956957,4.3736365,51,Bruxelles
Ixelles,50.8278557,4.3714303,50,Bruxelles
Laeken,50.8779248,4.3481374,48,Bruxelles
Etterbeek,50.8305664,4.3899992,43,Bruxelles
Hasselt,50.9304628,5.3324297,41,Vlaams Gewest
Sint-Niklaas,51.1657403,4.1370695,39,Vlaams Gewest
Aalst,50.9460841,4.0502929,38,Vlaams Gewest
Molenbeek-Saint-Jean,50.8589178,4.3120744,36,Bruxelles
Genk,50.9662121,5.502028699999999,32,Vlaams Gewest
Jette,50.8854263,4.317266099999999,30,Bruxelles
Forest,50.8202973,4.325840299999999,30,Bruxelles
Berchem,51.1955771,4.4188392,30,Vlaams Gewest
Saint-Gilles,50.8269838,4.344431699999999,29,Bruxelles
Waterloo,50.7007212,4.402148299999999,23,Région Wallonne
Lier,51.1334336,4.5675301,23,Vlaams Gewest
Evere,50.87481709999999,4.4034479,23,Brussel
Merksem,51.2508917,4.4489277,22,Vlaams Gewest
Woluwe-Saint-Lambert,50.8415257,4.4337046,21,Bruxelles
Vilvoorde,50.9262478,4.426356300000001,21,Vlaams Gewest
Wilrijk,51.1683102,4.3942868,20,Vlaams Gewest
Turnhout,51.3216148,4.9373026,20,Vlaams Gewest
Mortsel,51.1726912,4.4456969,20,Vlaams Gewest
Borgerhout,51.2090363,4.4488977,19,Vlaams Gewest
